"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde"
0, 5.010000078023450e+02, 5.352202629500000e-08, 1.758791779425464e-04, 1.738140299172303e-02, 5.293618246584906e-03, 3.790444849555352e+01, 3.085852608785823e-01
1, 4.052709646366250e+02, 5.352202629500000e-08, 1.760671552355333e-04, 1.733656861271562e-02, 5.299299677824151e-03, 3.795397798491580e+01, 3.088179831648484e-01
2, 3.278693397908290e+02, 5.352202629500000e-08, 1.760755702406361e-04, 1.733378395475566e-02, 5.299539439708686e-03, 3.795648818369173e+01, 3.088303950590505e-01
3, 2.652863312215480e+02, 5.352202629500000e-08, 1.760755983300365e-04, 1.733400039847384e-02, 5.299555157099802e-03, 3.795641250902434e+01, 3.088298826833744e-01
4, 2.146849004455700e+02, 5.352202629500000e-08, 1.760756350212060e-04, 1.733406252369359e-02, 5.299655159118191e-03, 3.795642300373849e+01, 3.088273703315667e-01
5, 1.737711627536290e+02, 5.352202629500000e-08, 1.760757610291688e-04, 1.733418052123206e-02, 5.300133011013482e-03, 3.795648637152642e+01, 3.088232263790128e-01
6, 1.406903998926780e+02, 5.352202629500000e-08, 1.760757955962478e-04, 1.733440650732567e-02, 5.301594280529809e-03, 3.795656184782454e+01, 3.088154949942527e-01
7, 1.139429812211730e+02, 5.352202629500000e-08, 1.760753105615401e-04, 1.733473434416086e-02, 5.304454951403748e-03, 3.795653820045895e+01, 3.087999603394960e-01
8, 9.231638184086459e+01, 5.352202629500000e-08, 1.760746579482270e-04, 1.733580005789153e-02, 5.308586200822640e-03, 3.795658346035753e+01, 3.087697281780041e-01
9, 7.483021592330550e+01, 5.352202629500000e-08, 1.760748210389954e-04, 1.733982785152043e-02, 5.314989980031703e-03, 3.795722267733989e+01, 3.087099118473928e-01
10, 6.069179345940150e+01, 5.352202629500000e-08, 1.760743286955906e-04, 1.735105437728272e-02, 5.324682263069839e-03, 3.795847477176117e+01, 3.085881152913524e-01
11, 4.926018571243980e+01, 5.352202629500000e-08, 1.760725993475957e-04, 1.737565934913294e-02, 5.330243427962403e-03, 3.796059537943868e+01, 3.083636589635833e-01
12, 4.001717037504760e+01, 5.352202629500000e-08, 1.760728270773698e-04, 1.740982816517670e-02, 5.314355100683488e-03, 3.796355780147816e+01, 3.079985124324957e-01
13, 3.254373930407910e+01, 5.352202629500000e-08, 1.760739119159117e-04, 1.742428898207202e-02, 5.270488554838340e-03, 3.796394074040050e+01, 3.074977353090609e-01
14, 2.650110387248250e+01, 5.352202629500000e-08, 1.760723205141719e-04, 1.740276290082708e-02, 5.234773161236161e-03, 3.796029841198594e+01, 3.068527894370551e-01
15, 2.161533686500620e+01, 5.352202629500000e-08, 1.760696545134287e-04, 1.738556488653615e-02, 5.240064520306628e-03, 3.795803583327346e+01, 3.061291424226611e-01
16, 1.766495469789320e+01, 5.352202629500000e-08, 1.760686842217056e-04, 1.739503921747991e-02, 5.241885305339184e-03, 3.795868495125243e+01, 3.052653152150561e-01
17, 1.447087703467990e+01, 5.352202629500000e-08, 1.760688714368769e-04, 1.740032568691301e-02, 5.226632323718561e-03, 3.795857301569168e+01, 3.042128793082183e-01
18, 1.188830864330480e+01, 5.352202629500000e-08, 1.760580292409719e-04, 1.741877166019406e-02, 5.224055268133050e-03, 3.795764596413903e+01, 3.028817095391561e-01
19, 9.800175479560719e+00, 5.352202629500000e-08, 1.760593560106472e-04, 1.744162259366908e-02, 5.186082203378035e-03, 3.795871003266848e+01, 3.011874793155819e-01
20, 8.111817438747661e+00, 5.352202629500000e-08, 1.760443154885295e-04, 1.742622722084377e-02, 5.140702684273945e-03, 3.795195824578740e+01, 2.989875115222991e-01
21, 6.746697185177710e+00, 5.352202629500000e-08, 1.760637903670953e-04, 1.742983521747195e-02, 5.131157010104330e-03, 3.795744231357018e+01, 2.962855229864640e-01
22, 5.642930530440520e+00, 5.352202629500000e-08, 1.760558973054724e-04, 1.745456890703682e-02, 5.118670673864197e-03, 3.795727182987643e+01, 2.927609972161698e-01
23, 4.750481074120650e+00, 5.352202629500000e-08, 1.760281154535420e-04, 1.743255350362006e-02, 5.080759962071179e-03, 3.794573177441863e+01, 2.883306662189782e-01
24, 4.028891933275240e+00, 5.352202629500000e-08, 1.760045304207272e-04, 1.742955534506246e-02, 5.109817905170026e-03, 3.794051299819009e+01, 2.831684915680509e-01
25, 3.445451734506840e+00, 5.352202629500000e-08, 1.759192496858327e-04, 1.754586080800200e-02, 5.099665739770225e-03, 3.793163568635116e+01, 2.770818038069605e-01
26, 2.973711728635770e+00, 5.352202629500000e-08, 1.760037267231232e-04, 1.742135859754243e-02, 4.765890204412053e-03, 3.793473053344486e+01, 2.708755885670507e-01
27, 2.592286805209170e+00, 5.352202629500000e-08, 1.760261203927879e-04, 1.680977204546908e-02, 5.116237915408778e-03, 3.788113304270455e+01, 2.654894816486630e-01
