"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde"
0, 5.010000078023450e+02, 5.352202629500000e-08, 1.758677167814848e-04, 1.738414898271774e-02, 5.293271906138400e-03, 3.790142434060735e+01, 3.085705013046621e-01
1, 4.052709646366250e+02, 5.352202629500000e-08, 1.760660996275752e-04, 1.733687423083943e-02, 5.299268949465371e-03, 3.795367943750176e+01, 3.088160180273966e-01
2, 3.278693397908290e+02, 5.352202629500000e-08, 1.760755424362076e-04, 1.733376966146305e-02, 5.299538516116879e-03, 3.795648922763020e+01, 3.088301995044403e-01
3, 2.652863312215480e+02, 5.352202629500000e-08, 1.760756020453537e-04, 1.733399689723393e-02, 5.299556259050271e-03, 3.795641452499959e+01, 3.088298421181199e-01
4, 2.146849004455700e+02, 5.352202629500000e-08, 1.760756388705615e-04, 1.733406479043323e-02, 5.299663006069817e-03, 3.795642450172576e+01, 3.088272987041315e-01
5, 1.737711627536290e+02, 5.352202629500000e-08, 1.760757642758282e-04, 1.733418597817290e-02, 5.300162968610575e-03, 3.795648874048843e+01, 3.088230909663406e-01
6, 1.406903998926780e+02, 5.352202629500000e-08, 1.760757849080026e-04, 1.733441277107818e-02, 5.301663525444478e-03, 3.795656136125073e+01, 3.088152041079705e-01
7, 1.139429812211730e+02, 5.352202629500000e-08, 1.760752818903010e-04, 1.733474729865572e-02, 5.304553632000883e-03, 3.795653423474636e+01, 3.087993598116144e-01
8, 9.231638184086459e+01, 5.352202629500000e-08, 1.760746553134371e-04, 1.733586929889455e-02, 5.308710884161497e-03, 3.795659367289639e+01, 3.087685592230786e-01
9, 7.483021592330550e+01, 5.352202629500000e-08, 1.760748273312300e-04, 1.734004861895287e-02, 5.315201783900593e-03, 3.795725215058945e+01, 3.087074441620641e-01
10, 6.069179345940150e+01, 5.352202629500000e-08, 1.760742524963295e-04, 1.735158546373869e-02, 5.324872665513676e-03, 3.795851097287766e+01, 3.085833015608285e-01
11, 4.926018571243980e+01, 5.352202629500000e-08, 1.760725789515963e-04, 1.737658738710567e-02, 5.329896757303959e-03, 3.796067172625857e+01, 3.083558184414666e-01
12, 4.001717037504760e+01, 5.352202629500000e-08, 1.760728773227778e-04, 1.741040149995748e-02, 5.313002553867146e-03, 3.796358616264960e+01, 3.079882377256715e-01
13, 3.254373930407910e+01, 5.352202629500000e-08, 1.760739024492374e-04, 1.742333360794443e-02, 5.268889926197195e-03, 3.796379351482293e+01, 3.074864445066356e-01
14, 2.650110387248250e+01, 5.352202629500000e-08, 1.760723087739368e-04, 1.740124698725662e-02, 5.234851500973981e-03, 3.796015306998676e+01, 3.068439933047496e-01
15, 2.161533686500620e+01, 5.352202629500000e-08, 1.760694855844196e-04, 1.738534631879755e-02, 5.241156546977536e-03, 3.795800179546918e+01, 3.061219940772359e-01
16, 1.766495469789320e+01, 5.352202629500000e-08, 1.760680835782410e-04, 1.739519037074080e-02, 5.241938074930148e-03, 3.795853109301521e+01, 3.052619888418709e-01
17, 1.447087703467990e+01, 5.352202629500000e-08, 1.760683710508017e-04, 1.740103495942534e-02, 5.226605629030582e-03, 3.795852864062051e+01, 3.042114035126895e-01
18, 1.188830864330480e+01, 5.352202629500000e-08, 1.760570646922211e-04, 1.741979191207745e-02, 5.221616467525899e-03, 3.795739387064736e+01, 3.028756275819390e-01
19, 9.800175479560719e+00, 5.352202629500000e-08, 1.760594334165900e-04, 1.743870061018201e-02, 5.179883638909514e-03, 3.795830897490188e+01, 3.011861784258998e-01
20, 8.111817438747661e+00, 5.352202629500000e-08, 1.760569997962181e-04, 1.742687684348090e-02, 5.139731711927431e-03, 3.795578556395270e+01, 2.990161757526126e-01
21, 6.746697185177710e+00, 5.352202629500000e-08, 1.760690827897143e-04, 1.743113546626568e-02, 5.138970560936343e-03, 3.795906015241108e+01, 2.962873860430635e-01
22, 5.642930530440520e+00, 5.352202629500000e-08, 1.760276951866366e-04, 1.743610469767351e-02, 5.127813518080163e-03, 3.794761055197667e+01, 2.927286754945463e-01
23, 4.750481074120650e+00, 5.352202629500000e-08, 1.760039312600851e-04, 1.742004088989813e-02, 5.091652805249347e-03, 3.793827552839743e+01, 2.882939240772716e-01
24, 4.028891933275240e+00, 5.352202629500000e-08, 1.760014767499644e-04, 1.744414718850062e-02, 5.107527761408201e-03, 3.794089676452928e+01, 2.830027878839264e-01
25, 3.445451734506840e+00, 5.352202629500000e-08, 1.759294159288143e-04, 1.748732206800402e-02, 5.030616695918015e-03, 3.792621375402152e+01, 2.769226950147494e-01
26, 2.973711728635770e+00, 5.352202629500000e-08, 1.760933583615470e-04, 1.727762878477085e-02, 4.953741059226301e-03, 3.794232840646499e+01, 2.724597031276452e-01
27, 2.592286805209170e+00, 5.352202629500000e-08, 1.757734512303565e-04, 1.750035725496622e-02, 5.597051597550524e-03, 3.791117601204577e+01, 2.768833172486375e-01
28, 2.283886053947150e+00, 5.352202629500000e-08, 1.750225490160775e-04, 1.874852723409235e-02, 5.126722470614025e-03, 3.790566518384197e+01, 3.095393603351436e-01
29, 2.034528926141940e+00, 5.352202629500000e-08, 1.756122310541230e-04, 1.692914996211996e-02, 1.254946517614624e-03, 3.797231442159781e+01, 3.828827733922800e-01
30, 1.832911462718730e+00, 5.352202629500000e-08, 1.757840197405084e-04, 1.137005328069944e-02, 1.337867268148284e-03, 3.753063464144949e+01, 3.730558410935874e-01
31, 1.669893858549960e+00, 5.352202629500000e-08, 1.765191976192611e-04, 1.169742650992831e-02, 7.360341087594828e-03, 3.766744793339593e+01, 2.416430458830821e-01
32, 1.538086133079550e+00, 5.352202629500000e-08, 1.754004102959675e-04, 1.453863565987614e-02, 1.047376775273731e-02, 3.773372324279906e+01, 2.048574547977475e-01
33, 1.431513124708660e+00, 5.352202629500000e-08, 1.735034654151514e-04, 1.713649243129541e-02, 1.128977725224708e-02, 3.751730052308473e+01, 1.863376865972139e-01
34, 1.345343622331700e+00, 5.352202629500000e-08, 1.716677115882800e-04, 2.002562643308578e-02, 1.121517075078043e-02, 3.734119136951352e+01, 1.748976087927225e-01
35, 1.275671354903060e+00, 5.352202629500000e-08, 1.702621872654739e-04, 2.154103061156924e-02, 8.821816943205994e-03, 3.713989234500958e+01, 1.783941505499487e-01
36, 1.219337910763940e+00, 5.352202629500000e-08, 1.701890807103296e-04, 2.023211449179164e-02, 5.429268536006558e-03, 3.703026718073511e+01, 1.962934532501468e-01
37, 1.173789559236190e+00, 5.352202629500000e-08, 1.704091192908981e-04, 1.688634611073069e-02, 2.965487423616480e-03, 3.686361242747478e+01, 2.079277244260328e-01
38, 1.136961483861060e+00, 5.352202629500000e-08, 1.710977269641652e-04, 1.381587373565113e-02, 1.878334663167218e-03, 3.684767772112694e+01, 2.006034174914174e-01
39, 1.107184179296940e+00, 5.352202629500000e-08, 1.713518029464280e-04, 1.132285321713197e-02, 1.495886281602798e-03, 3.678542211890873e+01, 1.827442322381807e-01
40, 1.083107768621840e+00, 5.352202629500000e-08, 1.715118212524719e-04, 9.287235591301365e-03, 1.394873863455158e-03, 3.673405850837369e+01, 1.620469967496017e-01
41, 1.063640810162010e+00, 5.352202629500000e-08, 1.713977989805561e-04, 7.594261885547939e-03, 1.396358714800891e-03, 3.664276898674462e+01, 1.414975504499041e-01
42, 1.047900819812490e+00, 5.352202629500000e-08, 1.712201575127437e-04, 6.221174600305170e-03, 1.452720350676815e-03, 3.655652715012364e+01, 1.220573742539441e-01
43, 1.035174265907630e+00, 5.352202629500000e-08, 1.709428016997312e-04, 5.077789858362250e-03, 1.462683048339320e-03, 3.646045636663386e+01, 1.036870029890444e-01
44, 1.024884223112370e+00, 5.352202629500000e-08, 1.706588027590302e-04, 4.107456518938962e-03, 1.426279101096801e-03, 3.637226508291432e+01, 8.601855288788918e-02
45, 1.016564219007590e+00, 5.352202629500000e-08, 1.703415975863159e-04, 3.245633193212657e-03, 1.297050505061129e-03, 3.628317111927707e+01, 6.852517042609792e-02
46, 1.009837087771990e+00, 5.352202629500000e-08, 1.700678710901945e-04, 2.393857066513202e-03, 1.107522404082902e-03, 3.620781888226773e+01, 5.052012942515142e-02
47, 1.004397872347220e+00, 5.352202629500000e-08, 1.696119563162374e-04, 1.566178137149267e-03, 6.401901211873278e-04, 3.609674165744828e+01, 3.068462235644065e-02
48, 1.000000000000000e+00, 5.352202629500000e-08, 1.695037645755540e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.606471127316538e+01, 0.000000000000000e+00
49, 9.957820729228830e-01, -5.967886532841323e-04, 1.701275462360282e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.627149497242988e+01, 0.000000000000000e+00
50, 9.909241437988340e-01, -1.280289614488857e-03, 1.702456052191309e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.633086068260666e+01, 0.000000000000000e+00
51, 9.853368952903420e-01, -2.061293361678059e-03, 1.701826966760748e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.633666375402075e+01, 0.000000000000000e+00
52, 9.789211302792580e-01, -2.951446198418808e-03, 1.701309318527009e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.633783015860300e+01, 0.000000000000000e+00
53, 9.715675460812661e-01, -3.963073044857662e-03, 1.700733305919993e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.633374432728289e+01, 0.000000000000000e+00
54, 9.631568360186920e-01, -5.108981458577545e-03, 1.700690528837586e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.633852637120580e+01, 0.000000000000000e+00
55, 9.535602429161220e-01, -6.402177880090121e-03, 1.701065305792324e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.635025642676856e+01, 0.000000000000000e+00
56, 9.426407105822270e-01, -7.855481327107042e-03, 1.701873248714573e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.636983960646436e+01, 0.000000000000000e+00
57, 9.302547962764830e-01, -9.481022247350132e-03, 1.702958862516360e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.639425198150322e+01, 0.000000000000000e+00
58, 9.162555145009680e-01, -1.128961886009035e-02, 1.704211302504805e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.642156721773448e+01, 0.000000000000000e+00
59, 9.004962734807360e-01, -1.329003047580013e-02, 1.705597211005755e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.645122249817400e+01, 0.000000000000000e+00
60, 8.828360320456839e-01, -1.548809659764239e-02, 1.707059651663163e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.648222877295265e+01, 0.000000000000000e+00
61, 8.631457374960591e-01, -1.788578165295289e-02, 1.708645629562438e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.651554988145335e+01, 0.000000000000000e+00
62, 8.413159970120960e-01, -2.048015683562499e-02, 1.710303655094822e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.655018430579827e+01, 0.000000000000000e+00
63, 8.172657826166300e-01, -2.326236201353585e-02, 1.712095635000127e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.658739103405473e+01, 0.000000000000000e+00
64, 7.909517772165610e-01, -2.621660130830753e-02, 1.713956798632315e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.662592052817055e+01, 0.000000000000000e+00
65, 7.623777524675190e-01, -2.931923744885270e-02, 1.715939279645814e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.666688710876441e+01, 0.000000000000000e+00
66, 7.316031585245610e-01, -3.253806414443636e-02, 1.717987824100467e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.670927502055279e+01, 0.000000000000000e+00
67, 6.987499446352849e-01, -3.583185629664898e-02, 1.720149561429549e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.675411802948509e+01, 0.000000000000000e+00
68, 6.640065698311099e-01, -3.915032464739417e-02, 1.722377357556264e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.680055124821856e+01, 0.000000000000000e+00
69, 6.276282525902900e-01, -4.243462858861940e-02, 1.724726613982579e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.684977614229962e+01, 0.000000000000000e+00
70, 5.899327756923080e-01, -4.561861289428874e-02, 1.727161024178612e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.690110349633129e+01, 0.000000000000000e+00
71, 5.512916003363530e-01, -4.863090808605761e-02, 1.729744932430623e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.695589857404425e+01, 0.000000000000000e+00
72, 5.121166001065770e-01, -5.139794887290158e-02, 1.732459046418225e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.701377334697952e+01, 0.000000000000000e+00
73, 4.728433082391680e-01, -5.384781416072871e-02, 1.735370523026826e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.707614132092387e+01, 0.000000000000000e+00
74, 4.339120676130220e-01, -5.591460064650605e-02, 1.738475869899928e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.714291867006033e+01, 0.000000000000000e+00
75, 3.957487779587870e-01, -5.754285488135374e-02, 1.741836451832000e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.721543168560012e+01, 0.000000000000000e+00
76, 3.587469844042950e-01, -5.869148183384367e-02, 1.745457478970573e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.729381376656154e+01, 0.000000000000000e+00
77, 3.232528390902350e-01, -5.933656107664884e-02, 1.749380338275556e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.737903002886036e+01, 0.000000000000000e+00
78, 2.895540445181870e-01, -5.947265120547269e-02, 1.753608856987723e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.747122633415978e+01, 0.000000000000000e+00
79, 2.578733448481230e-01, -5.911241796041434e-02, 1.758158945110243e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.757084873535165e+01, 0.000000000000000e+00
80, 2.283665749856950e-01, -5.828472232042683e-02, 1.763029471411972e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.767793260839753e+01, 0.000000000000000e+00
81, 2.011247989315330e-01, -5.703150512358030e-02, 1.768208919604169e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.779229418627696e+01, 0.000000000000000e+00
82, 1.761797307773510e-01, -5.540399685008031e-02, 1.773693104899795e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.791384108002071e+01, 0.000000000000000e+00
83, 1.535114573767690e-01, -5.345875993105773e-02, 1.779447634348651e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.804182535785935e+01, 0.000000000000000e+00
84, 1.330574640378200e-01, -5.125402533974487e-02, 1.785454803870647e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.817581277643337e+01, 0.000000000000000e+00
85, 1.147220644565820e-01, -4.884662296676224e-02, 1.791669569588277e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.831478545463111e+01, 0.000000000000000e+00
86, 9.838551560343448e-02, -4.628967359474944e-02, 1.798046831220312e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.845769607168243e+01, 0.000000000000000e+00
87, 8.391230598462590e-02, -4.363106518129783e-02, 1.804525298045743e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.860315007759517e+01, 0.000000000000000e+00
88, 7.115831019240228e-02, -4.091264364521334e-02, 1.811034991608307e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.874954155650687e+01, 0.000000000000000e+00
89, 5.997667081241873e-02, -3.816999333835450e-02, 1.817478601545818e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.889465721739404e+01, 0.000000000000000e+00
