"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde"
0, 5.010000078023450e+02, 5.352202629500000e-08, 1.760537278900129e-04, 1.733933184011800e-02, 5.298884507810867e-03, 3.795060378283087e+01, 3.088059738847369e-01
1, 4.052709646366250e+02, 5.352202629500000e-08, 1.760754623528720e-04, 1.733405906180065e-02, 5.299539194357991e-03, 3.795636430273679e+01, 3.088324978714458e-01
2, 3.278693397908290e+02, 5.352202629500000e-08, 1.760755715740076e-04, 1.733401240650824e-02, 5.299542238020639e-03, 3.795640050845103e+01, 3.088317727108310e-01
3, 2.652863312215480e+02, 5.352202629500000e-08, 1.760755687028194e-04, 1.733402247362924e-02, 5.299545305681021e-03, 3.795639752653889e+01, 3.088304631240831e-01
4, 2.146849004455700e+02, 5.352202629500000e-08, 1.760755942058945e-04, 1.733403675576813e-02, 5.299578829662186e-03, 3.795640704851272e+01, 3.088283631739388e-01
5, 1.737711627536290e+02, 5.352202629500000e-08, 1.760756941495098e-04, 1.733410691010201e-02, 5.299796920112447e-03, 3.795644951791301e+01, 3.088249895796122e-01
6, 1.406903998926780e+02, 5.352202629500000e-08, 1.760758621411622e-04, 1.733430219682414e-02, 5.300688515608246e-03, 3.795654477761038e+01, 3.088191659011127e-01
7, 1.139429812211730e+02, 5.352202629500000e-08, 1.760757272050874e-04, 1.733460279770301e-02, 5.302980274063551e-03, 3.795660242272624e+01, 3.088077610330905e-01
8, 9.231638184086459e+01, 5.352202629500000e-08, 1.760749153827360e-04, 1.733510121359127e-02, 5.306818017556295e-03, 3.795652926413698e+01, 3.087849288063979e-01
9, 7.483021592330550e+01, 5.352202629500000e-08, 1.760744945314794e-04, 1.733717766414493e-02, 5.312204993848047e-03, 3.795678228099034e+01, 3.087409875392834e-01
10, 6.069179345940150e+01, 5.352202629500000e-08, 1.760750440189627e-04, 1.734433556605185e-02, 5.321064629392201e-03, 3.795791588502698e+01, 3.086522343995705e-01
11, 4.926018571243980e+01, 5.352202629500000e-08, 1.760739348522148e-04, 1.736251766733004e-02, 5.332124978863243e-03, 3.795971751179965e+01, 3.084750005903741e-01
12, 4.001717037504760e+01, 5.352202629500000e-08, 1.760721977253467e-04, 1.739688219957534e-02, 5.331055093117889e-03, 3.796260140657497e+01, 3.081600001299930e-01
