"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde"
0, 5.010000078023450e+02, 5.352202629500000e-08, 1.760742898906450e-04, 1.733433156061442e-02, 5.299503646174121e-03, 3.795605780996486e+01, 3.088314846889803e-01
1, 4.052709646366250e+02, 5.352202629500000e-08, 1.760755639190917e-04, 1.733402122485701e-02, 5.299541998456865e-03, 3.795639592594237e+01, 3.088326254743909e-01
2, 3.278693397908290e+02, 5.352202629500000e-08, 1.760755650456906e-04, 1.733402085749095e-02, 5.299542137932608e-03, 3.795639630800142e+01, 3.088318187902417e-01
3, 2.652863312215480e+02, 5.352202629500000e-08, 1.760755680936078e-04, 1.733402230633292e-02, 5.299544729674619e-03, 3.795639727988419e+01, 3.088305304551805e-01
4, 2.146849004455700e+02, 5.352202629500000e-08, 1.760755910609631e-04, 1.733403478799313e-02, 5.299573738560044e-03, 3.795640579284882e+01, 3.088284716305442e-01
5, 1.737711627536290e+02, 5.352202629500000e-08, 1.760756855622691e-04, 1.733409961317234e-02, 5.299769689838098e-03, 3.795644544787412e+01, 3.088251724523389e-01
6, 1.406903998926780e+02, 5.352202629500000e-08, 1.760758595156779e-04, 1.733428873822024e-02, 5.300599613644172e-03, 3.795654012450438e+01, 3.088195294100518e-01
7, 1.139429812211730e+02, 5.352202629500000e-08, 1.760757674957683e-04, 1.733459048378966e-02, 5.302807437794033e-03, 3.795660809838829e+01, 3.088085401438879e-01
8, 9.231638184086459e+01, 5.352202629500000e-08, 1.760749708859676e-04, 1.733505456810540e-02, 5.306603921033748e-03, 3.795653399977994e+01, 3.087864721408735e-01
9, 7.483021592330550e+01, 5.352202629500000e-08, 1.760744437452139e-04, 1.733694256761268e-02, 5.311915320183786e-03, 3.795673515114382e+01, 3.087440262103770e-01
10, 6.069179345940150e+01, 5.352202629500000e-08, 1.760750232867057e-04, 1.734367422431956e-02, 5.320595140112312e-03, 3.795783240010645e+01, 3.086588516993773e-01
11, 4.926018571243980e+01, 5.352202629500000e-08, 1.760741235904247e-04, 1.736109355893839e-02, 5.331991278896000e-03, 3.795962683462575e+01, 3.084873054226610e-01
12, 4.001717037504760e+01, 5.352202629500000e-08, 1.760722470529671e-04, 1.739496895290434e-02, 5.332534331824685e-03, 3.796247195655984e+01, 3.081799570059497e-01
13, 3.254373930407910e+01, 5.352202629500000e-08, 1.760721638522488e-04, 1.743110226321739e-02, 5.301446371583567e-03, 3.796508607592571e+01, 3.077024370473334e-01
14, 2.650110387248250e+01, 5.352202629500000e-08, 1.760731130767201e-04, 1.743106790222095e-02, 5.245796915574181e-03, 3.796363068275177e+01, 3.070649688115478e-01
15, 2.161533686500620e+01, 5.352202629500000e-08, 1.760731253460214e-04, 1.739949663343439e-02, 5.221730285862683e-03, 3.795982338905463e+01, 3.062767061131917e-01
16, 1.766495469789320e+01, 5.352202629500000e-08, 1.760687904692870e-04, 1.739381547076459e-02, 5.237212301290177e-03, 3.795856484279198e+01, 3.053501955274561e-01
17, 1.447087703467990e+01, 5.352202629500000e-08, 1.760672944760820e-04, 1.740507539669476e-02, 5.221734650451892e-03, 3.795870181516298e+01, 3.042610773516581e-01
18, 1.188830864330480e+01, 5.352202629500000e-08, 1.760674945558675e-04, 1.739100471682394e-02, 5.205503966995353e-03, 3.795678579571199e+01, 3.029227098394565e-01
19, 9.800175479560719e+00, 5.352202629500000e-08, 1.760560383988228e-04, 1.739723814692776e-02, 5.229306270491201e-03, 3.795521391299302e+01, 3.012545247010512e-01
20, 8.111817438747661e+00, 5.352202629500000e-08, 1.760453199457909e-04, 1.743375216290065e-02, 5.229718620156925e-03, 3.795558688545371e+01, 2.991385994125046e-01
21, 6.746697185177710e+00, 5.352202629500000e-08, 1.760225864627144e-04, 1.749615442318039e-02, 5.197298160400597e-03, 3.795499844598325e+01, 2.963050899466447e-01
22, 5.642930530440520e+00, 5.352202629500000e-08, 1.760546746472364e-04, 1.755796603944693e-02, 5.096456035463238e-03, 3.796540777288200e+01, 2.925918484908365e-01
23, 4.750481074120650e+00, 5.352202629500000e-08, 1.760541119916500e-04, 1.751626879523338e-02, 5.023387707448123e-03, 3.795872198252150e+01, 2.882295329427373e-01
24, 4.028891933275240e+00, 5.352202629500000e-08, 1.759991508469417e-04, 1.746093393433669e-02, 5.065788394771454e-03, 3.794059753456971e+01, 2.832374850432789e-01
25, 3.445451734506840e+00, 5.352202629500000e-08, 1.759594602939692e-04, 1.756959778773906e-02, 5.124525496364979e-03, 3.794401622790848e+01, 2.789239205418519e-01
26, 2.973711728635770e+00, 5.352202629500000e-08, 1.758302742518406e-04, 1.769337102745713e-02, 4.856220169687016e-03, 3.792681614829323e+01, 2.749404695783794e-01
27, 2.592286805209170e+00, 5.352202629500000e-08, 1.762109402115060e-04, 1.699249940599699e-02, 4.441856836669095e-03, 3.795168299788832e+01, 2.699248981749695e-01
28, 2.283886053947150e+00, 5.352202629500000e-08, 1.759323217919925e-04, 1.639947743155812e-02, 6.035953017891914e-03, 3.786004483585788e+01, 2.614596316713497e-01
29, 2.034528926141940e+00, 5.352202629500000e-08, 1.750502740298082e-04, 1.881577495709991e-02, 7.375754854187939e-03, 3.795629013793853e+01, 2.810177652406803e-01
30, 1.832911462718730e+00, 5.352202629500000e-08, 1.735732512370626e-04, 2.042357201793170e-02, 3.850185824463359e-03, 3.787036027227610e+01, 3.679017605025447e-01
31, 1.669893858549960e+00, 5.352202629500000e-08, 1.748552752414493e-04, 1.541996570369351e-02, -2.826892044781392e-03, 3.792520067457593e+01, 4.822703203140764e-01
32, 1.538086133079550e+00, 5.352202629500000e-08, 1.762848593884161e-04, 8.488371870160367e-03, -1.244541763906197e-03, 3.749792751607738e+01, 4.142195724954644e-01
33, 1.431513124708660e+00, 5.352202629500000e-08, 1.768019173103983e-04, 9.816531244751091e-03, 6.908780055356047e-03, 3.757958431769674e+01, 2.367794097534597e-01
34, 1.345343622331700e+00, 5.352202629500000e-08, 1.758057253697271e-04, 1.194012118709997e-02, 9.941495818059807e-03, 3.757888957757716e+01, 1.791804062491361e-01
35, 1.275671354903060e+00, 5.352202629500000e-08, 1.737605336477856e-04, 1.354700675184674e-02, 1.154624223467470e-02, 3.728840584896092e+01, 1.645924800634269e-01
36, 1.219337910763940e+00, 5.352202629500000e-08, 1.720110838161313e-04, 1.564361522062735e-02, 1.292908937482418e-02, 3.706426609292048e+01, 1.546534703969417e-01
37, 1.173789559236190e+00, 5.352202629500000e-08, 1.693019556515683e-04, 1.753357913207636e-02, 1.311379726288832e-02, 3.662616693956784e+01, 1.464104485535824e-01
38, 1.136961483861060e+00, 5.352202629500000e-08, 1.672168397695942e-04, 1.880892109554646e-02, 1.182787893759104e-02, 3.624473406843959e+01, 1.394971175225074e-01
39, 1.107184179296940e+00, 5.352202629500000e-08, 1.655128857726832e-04, 1.853358845912129e-02, 9.558012457928486e-03, 3.583572150743949e+01, 1.333316027987333e-01
40, 1.083107768621840e+00, 5.352202629500000e-08, 1.646578113231847e-04, 1.699982368111655e-02, 7.167474333691300e-03, 3.553763132865711e+01, 1.259677355491120e-01
41, 1.063640810162010e+00, 5.352202629500000e-08, 1.642739515502928e-04, 1.479811587668681e-02, 5.136853296222157e-03, 3.532091510723464e+01, 1.157556277614842e-01
42, 1.047900819812490e+00, 5.352202629500000e-08, 1.643409017202967e-04, 1.260586283672511e-02, 3.609247875722841e-03, 3.522448241583898e+01, 1.027968248044275e-01
43, 1.035174265907630e+00, 5.352202629500000e-08, 1.644538297252043e-04, 1.058239910331843e-02, 2.495545454011403e-03, 3.516694774402073e+01, 8.864941596752587e-02
44, 1.024884223112370e+00, 5.352202629500000e-08, 1.646124962418704e-04, 8.728965208819755e-03, 1.682353621642257e-03, 3.514090331014768e+01, 7.469666720866740e-02
45, 1.016564219007590e+00, 5.352202629500000e-08, 1.645956942155199e-04, 6.985035823542763e-03, 1.080135839078447e-03, 3.509207486159873e+01, 6.066723607007872e-02
46, 1.009837087771990e+00, 5.352202629500000e-08, 1.645222934529597e-04, 5.218134562233639e-03, 6.352137876708062e-04, 3.504015032740043e+01, 4.613700624365241e-02
47, 1.004397872347220e+00, 5.352202629500000e-08, 1.637005674656857e-04, 3.307324157982708e-03, 2.872717958196678e-04, 3.483521267514649e+01, 2.948497187513302e-02
48, 1.000000000000000e+00, 5.352202629500000e-08, 1.640989089774639e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.489606187193536e+01, 0.000000000000000e+00
49, 9.957820729228830e-01, -5.967886532841323e-04, 1.653226817349246e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.521661961608805e+01, 0.000000000000000e+00
50, 9.909241437988340e-01, -1.280289614488857e-03, 1.653853631345871e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.525251974937679e+01, 0.000000000000000e+00
51, 9.853368952903420e-01, -2.061293361678059e-03, 1.656075982299570e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.530720098164568e+01, 0.000000000000000e+00
52, 9.789211302792580e-01, -2.951446198418808e-03, 1.656911256537949e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.532598583164467e+01, 0.000000000000000e+00
53, 9.715675460812661e-01, -3.963073044857662e-03, 1.658386947589453e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.535619997575769e+01, 0.000000000000000e+00
54, 9.631568360186920e-01, -5.108981458577545e-03, 1.660164545811452e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.539225934739869e+01, 0.000000000000000e+00
55, 9.535602429161220e-01, -6.402177880090121e-03, 1.662624286681006e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.544234160348273e+01, 0.000000000000000e+00
56, 9.426407105822270e-01, -7.855481327107042e-03, 1.665715078152902e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.550526066949409e+01, 0.000000000000000e+00
