"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde"
0, 5.010000078023450e+02, 5.352202629500000e-08, 1.757379683366199e-04, 1.741524684128625e-02, 5.289356598440915e-03, 3.786720048430693e+01, 3.084050436782720e-01
1, 4.052709646366250e+02, 5.352202629500000e-08, 1.760591654640756e-04, 1.733893905530758e-02, 5.299068272565401e-03, 3.795169876524052e+01, 3.088036854691964e-01
2, 3.278693397908290e+02, 5.352202629500000e-08, 1.760754679702719e-04, 1.733361861898492e-02, 5.299534075930604e-03, 3.795653494506695e+01, 3.088291616583222e-01
3, 2.652863312215480e+02, 5.352202629500000e-08, 1.760756204479461e-04, 1.733397385261460e-02, 5.299556933659482e-03, 3.795642500895855e+01, 3.088298211430742e-01
4, 2.146849004455700e+02, 5.352202629500000e-08, 1.760756464726487e-04, 1.733406756992155e-02, 5.299672455629060e-03, 3.795642667571295e+01, 3.088272231714536e-01
5, 1.737711627536290e+02, 5.352202629500000e-08, 1.760757677782741e-04, 1.733419231710846e-02, 5.300198199552479e-03, 3.795649136512620e+01, 3.088229346789459e-01
6, 1.406903998926780e+02, 5.352202629500000e-08, 1.760757718713543e-04, 1.733441979855518e-02, 5.301743226333229e-03, 3.795656056840188e+01, 3.088148666311716e-01
7, 1.139429812211730e+02, 5.352202629500000e-08, 1.760752499205093e-04, 1.733476302064461e-02, 5.304665606360824e-03, 3.795653001061251e+01, 3.087986662580882e-01
8, 9.231638184086459e+01, 5.352202629500000e-08, 1.760746543069973e-04, 1.733595163192017e-02, 5.308854180713472e-03, 3.795660621846680e+01, 3.087672063957466e-01
9, 7.483021592330550e+01, 5.352202629500000e-08, 1.760748317960318e-04, 1.734030633059308e-02, 5.315444334158159e-03, 3.795728554309810e+01, 3.087045842875119e-01
10, 6.069179345940150e+01, 5.352202629500000e-08, 1.760741694486297e-04, 1.735220219686612e-02, 5.325074883949870e-03, 3.795855413108482e+01, 3.085777834385685e-01
11, 4.926018571243980e+01, 5.352202629500000e-08, 1.760725771946236e-04, 1.737764195696040e-02, 5.329467258720804e-03, 3.796076335406678e+01, 3.083468890086420e-01
12, 4.001717037504760e+01, 5.352202629500000e-08, 1.760729598152473e-04, 1.741100520477566e-02, 5.311442611754658e-03, 3.796362017946971e+01, 3.079767221733262e-01
13, 3.254373930407910e+01, 5.352202629500000e-08, 1.760740183444822e-04, 1.742226222992413e-02, 5.267146739509391e-03, 3.796366789150181e+01, 3.074740414203118e-01
14, 2.650110387248250e+01, 5.352202629500000e-08, 1.760727498953733e-04, 1.739980624154262e-02, 5.235096195688281e-03, 3.796015276486487e+01, 3.068352589773400e-01
15, 2.161533686500620e+01, 5.352202629500000e-08, 1.760700242326906e-04, 1.738558695833630e-02, 5.242528936522538e-03, 3.795822425763853e+01, 3.061154982164083e-01
16, 1.766495469789320e+01, 5.352202629500000e-08, 1.760679433120191e-04, 1.739588662600209e-02, 5.242245239946990e-03, 3.795856139023064e+01, 3.052585913126544e-01
17, 1.447087703467990e+01, 5.352202629500000e-08, 1.760674418950479e-04, 1.740218994777941e-02, 5.226803233158408e-03, 3.795838846368205e+01, 3.042087557218960e-01
18, 1.188830864330480e+01, 5.352202629500000e-08, 1.760575421627144e-04, 1.742217573029918e-02, 5.218851396671189e-03, 3.795770390438837e+01, 3.028733397450207e-01
19, 9.800175479560719e+00, 5.352202629500000e-08, 1.760670835631506e-04, 1.744090255646407e-02, 5.175088738796190e-03, 3.796065501777502e+01, 3.011921841417404e-01
20, 8.111817438747661e+00, 5.352202629500000e-08, 1.760640241236776e-04, 1.743060760478988e-02, 5.143919197291095e-03, 3.795814180118931e+01, 2.990190527964290e-01
21, 6.746697185177710e+00, 5.352202629500000e-08, 1.760431132592153e-04, 1.742767014569702e-02, 5.140764672552239e-03, 3.795114012088377e+01, 2.962213900016005e-01
22, 5.642930530440520e+00, 5.352202629500000e-08, 1.760098740151425e-04, 1.742604277138137e-02, 5.101039616061806e-03, 3.794114482377049e+01, 2.926690580148524e-01
23, 4.750481074120650e+00, 5.352202629500000e-08, 1.760386020260052e-04, 1.741164465756749e-02, 5.056898212102716e-03, 3.794617798587353e+01, 2.883019617005053e-01
24, 4.028891933275240e+00, 5.352202629500000e-08, 1.760147234034077e-04, 1.739917640007803e-02, 5.085124050496436e-03, 3.793934588759747e+01, 2.830358777809982e-01
25, 3.445451734506840e+00, 5.352202629500000e-08, 1.760094023846191e-04, 1.741019170212450e-02, 5.093574355080834e-03, 3.793907148982792e+01, 2.780600984974957e-01
26, 2.973711728635770e+00, 5.352202629500000e-08, 1.758725267926886e-04, 1.754825740419641e-02, 5.280758687249961e-03, 3.792316973837028e+01, 2.768848531375480e-01
27, 2.592286805209170e+00, 5.352202629500000e-08, 1.755573737152696e-04, 1.820746014911261e-02, 5.120546528139442e-03, 3.793722330754600e+01, 2.887325237289118e-01
28, 2.283886053947150e+00, 5.352202629500000e-08, 1.759370069286924e-04, 1.758201798399387e-02, 2.946011040209137e-03, 3.798512167215345e+01, 3.208988441153779e-01
29, 2.034528926141940e+00, 5.352202629500000e-08, 1.762898421447054e-04, 1.391476022642410e-02, 2.712799754529044e-03, 3.772903028058587e+01, 3.157130785057888e-01
30, 1.832911462718730e+00, 5.352202629500000e-08, 1.763459839935528e-04, 1.357954402247370e-02, 7.453670108513435e-03, 3.776782517610069e+01, 2.396783152371666e-01
31, 1.669893858549960e+00, 5.352202629500000e-08, 1.754019195224693e-04, 1.671111625890968e-02, 9.973628543991329e-03, 3.790197536982415e+01, 2.150679828633978e-01
32, 1.538086133079550e+00, 5.352202629500000e-08, 1.735711860911522e-04, 1.969324472302857e-02, 9.776732373311154e-03, 3.773289950970152e+01, 2.060836199917922e-01
33, 1.431513124708660e+00, 5.352202629500000e-08, 1.723397099835487e-04, 2.225827486546454e-02, 7.771462958048939e-03, 3.766559393667990e+01, 2.304891473478696e-01
