"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde"
0, 5.010000078023450e+02, 5.352202629500000e-08, 1.757478491768824e-04, 1.741288618127200e-02, 5.289655263811069e-03, 3.786980443696500e+01, 3.084178347480327e-01
1, 4.052709646366250e+02, 5.352202629500000e-08, 1.760601548147284e-04, 1.733865447189230e-02, 5.299097118626189e-03, 3.795197790095260e+01, 3.088055408808087e-01
2, 3.278693397908290e+02, 5.352202629500000e-08, 1.760754998651984e-04, 1.733362925054403e-02, 5.299535106998873e-03, 3.795653600685751e+01, 3.088293466064285e-01
3, 2.652863312215480e+02, 5.352202629500000e-08, 1.760756174262467e-04, 1.733397734096591e-02, 5.299556310819212e-03, 3.795642325915596e+01, 3.088298439258229e-01
4, 2.146849004455700e+02, 5.352202629500000e-08, 1.760756438842709e-04, 1.733406627050341e-02, 5.299667682910925e-03, 3.795642572464411e+01, 3.088272638102482e-01
5, 1.737711627536290e+02, 5.352202629500000e-08, 1.760757661145986e-04, 1.733418919454519e-02, 5.300180459347829e-03, 3.795649005661335e+01, 3.088230132854485e-01
6, 1.406903998926780e+02, 5.352202629500000e-08, 1.760757784852933e-04, 1.733441630268688e-02, 5.301703304617779e-03, 3.795656099370916e+01, 3.088150360334794e-01
7, 1.139429812211730e+02, 5.352202629500000e-08, 1.760752657940111e-04, 1.733475503378371e-02, 5.304609725805222e-03, 3.795653208001409e+01, 3.087990139975111e-01
8, 9.231638184086459e+01, 5.352202629500000e-08, 1.760746545588887e-04, 1.733591003979840e-02, 5.308782425294611e-03, 3.795659983373026e+01, 3.087678850956334e-01
9, 7.483021592330550e+01, 5.352202629500000e-08, 1.760748299299977e-04, 1.734017674759050e-02, 5.315323038094002e-03, 3.795726888509752e+01, 3.087060190924680e-01
10, 6.069179345940150e+01, 5.352202629500000e-08, 1.760742104156440e-04, 1.735189253017860e-02, 5.324975888450499e-03, 3.795853230334471e+01, 3.085805447763600e-01
11, 4.926018571243980e+01, 5.352202629500000e-08, 1.760725760833284e-04, 1.737711588831528e-02, 5.329686426373081e-03, 3.796071721438377e+01, 3.083513519910913e-01
12, 4.001717037504760e+01, 5.352202629500000e-08, 1.760729241864813e-04, 1.741071415887080e-02, 5.312224595986244e-03, 3.796360582253419e+01, 3.079824763789962e-01
13, 3.254373930407910e+01, 5.352202629500000e-08, 1.760740014077511e-04, 1.742282255512391e-02, 5.268010713087520e-03, 3.796374456934090e+01, 3.074803069066726e-01
14, 2.650110387248250e+01, 5.352202629500000e-08, 1.760726983177484e-04, 1.740060428878192e-02, 5.234979439629507e-03, 3.796021036834843e+01, 3.068399115677665e-01
15, 2.161533686500620e+01, 5.352202629500000e-08, 1.760701691102670e-04, 1.738568599274284e-02, 5.241935567217722e-03, 3.795825873664299e+01, 3.061194793489372e-01
16, 1.766495469789320e+01, 5.352202629500000e-08, 1.760684203544360e-04, 1.739583553661774e-02, 5.242341052095421e-03, 3.795869999251629e+01, 3.052610538967528e-01
17, 1.447087703467990e+01, 5.352202629500000e-08, 1.760676915207346e-04, 1.740178105757663e-02, 5.227120396028155e-03, 3.795842410140946e+01, 3.042095543113167e-01
18, 1.188830864330480e+01, 5.352202629500000e-08, 1.760564660419641e-04, 1.742119563674971e-02, 5.220640747370347e-03, 3.795733978009248e+01, 3.028729147691593e-01
19, 9.800175479560719e+00, 5.352202629500000e-08, 1.760635766024261e-04, 1.744104618508317e-02, 5.177485787360238e-03, 3.795971356352332e+01, 3.011890515266480e-01
20, 8.111817438747661e+00, 5.352202629500000e-08, 1.760649929678759e-04, 1.743292169568545e-02, 5.141597367790138e-03, 3.795869020407221e+01, 2.990217872510052e-01
