"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde"
0, 5.010000078023450e+02, 5.352202629500000e-08, 1.760755646903574e-04, 1.733402088955742e-02, 5.299542018245762e-03, 3.795639618599731e+01, 3.088330444674211e-01
1, 4.052709646366250e+02, 5.352202629500000e-08, 1.760755647033234e-04, 1.733402089022425e-02, 5.299542019706945e-03, 3.795639618817788e+01, 3.088326026486104e-01
2, 3.278693397908290e+02, 5.352202629500000e-08, 1.760755650053990e-04, 1.733402098057164e-02, 5.299542173499680e-03, 3.795639627069632e+01, 3.088317789350762e-01
3, 2.652863312215480e+02, 5.352202629500000e-08, 1.760755686616622e-04, 1.733402259272748e-02, 5.299545308897617e-03, 3.795639748287966e+01, 3.088304632372913e-01
4, 2.146849004455700e+02, 5.352202629500000e-08, 1.760755941962968e-04, 1.733403674568337e-02, 5.299578829349208e-03, 3.795640705082685e+01, 3.088283631401370e-01
5, 1.737711627536290e+02, 5.352202629500000e-08, 1.760756941491611e-04, 1.733410690983453e-02, 5.299796920144142e-03, 3.795644951789713e+01, 3.088249895793543e-01
6, 1.406903998926780e+02, 5.352202629500000e-08, 1.760758621403951e-04, 1.733430219667165e-02, 5.300688515500545e-03, 3.795654477738270e+01, 3.088191659005740e-01
7, 1.139429812211730e+02, 5.352202629500000e-08, 1.760757272032653e-04, 1.733460279730548e-02, 5.302980273282435e-03, 3.795660242205025e+01, 3.088077610271479e-01
8, 9.231638184086459e+01, 5.352202629500000e-08, 1.760749153790905e-04, 1.733510121240536e-02, 5.306818015342867e-03, 3.795652926248745e+01, 3.087849287794564e-01
9, 7.483021592330550e+01, 5.352202629500000e-08, 1.760744945217625e-04, 1.733717766074163e-02, 5.312204989780470e-03, 3.795678227781837e+01, 3.087409874043444e-01
10, 6.069179345940150e+01, 5.352202629500000e-08, 1.760750440004068e-04, 1.734433555880318e-02, 5.321064623692236e-03, 3.795791588083168e+01, 3.086522343422490e-01
