"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde"
0, 5.010000078023450e+02, 5.352202629500000e-08, 1.760755646906757e-04, 1.733402088932237e-02, 5.299542017909898e-03, 3.795639618593994e+01, 3.088330106408409e-01
1, 4.052709646366250e+02, 5.352202629500000e-08, 1.760755647111267e-04, 1.733402089188022e-02, 5.299542022153402e-03, 3.795639619008724e+01, 3.088325555087562e-01
2, 3.278693397908290e+02, 5.352202629500000e-08, 1.760755651373316e-04, 1.733402103260608e-02, 5.299542263127347e-03, 3.795639631215920e+01, 3.088317026800150e-01
3, 2.652863312215480e+02, 5.352202629500000e-08, 1.760755698720702e-04, 1.733402321767214e-02, 5.299546609322308e-03, 3.795639792056778e+01, 3.088303398768419e-01
4, 2.146849004455700e+02, 5.352202629500000e-08, 1.760756004544327e-04, 1.733404073922860e-02, 5.299589612798540e-03, 3.795640958628394e+01, 3.088281646594369e-01
5, 1.737711627536290e+02, 5.352202629500000e-08, 1.760757096547521e-04, 1.733412078782181e-02, 5.299851603512680e-03, 3.795645708237408e+01, 3.088246527837693e-01
6, 1.406903998926780e+02, 5.352202629500000e-08, 1.760758620276720e-04, 1.733432579916364e-02, 5.300857561145451e-03, 3.795655193563873e+01, 3.088184884045662e-01
7, 1.139429812211730e+02, 5.352202629500000e-08, 1.760756488705138e-04, 1.733462511334622e-02, 5.303290909768823e-03, 3.795659058892348e+01, 3.088062962074462e-01
8, 9.231638184086459e+01, 5.352202629500000e-08, 1.760748293001243e-04, 1.733520103568434e-02, 5.307191392848581e-03, 3.795652612080028e+01, 3.087820462386983e-01
9, 7.483021592330550e+01, 5.352202629500000e-08, 1.760745898634049e-04, 1.733763793947292e-02, 5.312733312094834e-03, 3.795687187136397e+01, 3.087352854575456e-01
10, 6.069179345940150e+01, 5.352202629500000e-08, 1.760750251754506e-04, 1.734557880243082e-02, 5.321890085879546e-03, 3.795805525469986e+01, 3.086400638765379e-01
11, 4.926018571243980e+01, 5.352202629500000e-08, 1.760735963373885e-04, 1.736512195695108e-02, 5.332194382720193e-03, 3.795988278769529e+01, 3.084526767493769e-01
12, 4.001717037504760e+01, 5.352202629500000e-08, 1.760722108736616e-04, 1.740010906385471e-02, 5.328145092847440e-03, 3.796283865940513e+01, 3.081250550970585e-01
13, 3.254373930407910e+01, 5.352202629500000e-08, 1.760727124952943e-04, 1.743097328491889e-02, 5.291809688318184e-03, 3.796493141553688e+01, 3.076386998768743e-01
14, 2.650110387248250e+01, 5.352202629500000e-08, 1.760739131398396e-04, 1.742298348708583e-02, 5.240055401540347e-03, 3.796290471953726e+01, 3.069932126893574e-01
15, 2.161533686500620e+01, 5.352202629500000e-08, 1.760729439905750e-04, 1.739350366961662e-02, 5.226974857423614e-03, 3.795933879118836e+01, 3.062236865511322e-01
16, 1.766495469789320e+01, 5.352202629500000e-08, 1.760662535490327e-04, 1.739270498862500e-02, 5.239340214428764e-03, 3.795777117668651e+01, 3.053017124697462e-01
17, 1.447087703467990e+01, 5.352202629500000e-08, 1.760673440639918e-04, 1.739943667832223e-02, 5.220531509041438e-03, 3.795802844352486e+01, 3.042404594265999e-01
18, 1.188830864330480e+01, 5.352202629500000e-08, 1.760666405844128e-04, 1.739296620622830e-02, 5.217840467272120e-03, 3.795710580597279e+01, 3.029091244603418e-01
19, 9.800175479560719e+00, 5.352202629500000e-08, 1.760590051495266e-04, 1.742255561236902e-02, 5.234405100095845e-03, 3.795854380045942e+01, 3.012081403815879e-01
20, 8.111817438747661e+00, 5.352202629500000e-08, 1.760496740750803e-04, 1.746836195930883e-02, 5.205690238268284e-03, 3.795902537946415e+01, 2.990043782175684e-01
21, 6.746697185177710e+00, 5.352202629500000e-08, 1.760215292091289e-04, 1.749199121612563e-02, 5.138140712235102e-03, 3.795208097406998e+01, 2.961559178796821e-01
22, 5.642930530440520e+00, 5.352202629500000e-08, 1.760482538348489e-04, 1.747321571955313e-02, 5.060638700773498e-03, 3.795499072203256e+01, 2.926158477330509e-01
23, 4.750481074120650e+00, 5.352202629500000e-08, 1.760527915248049e-04, 1.744831679126253e-02, 5.087033431367610e-03, 3.795468458074048e+01, 2.882662050575847e-01
24, 4.028891933275240e+00, 5.352202629500000e-08, 1.759758946975934e-04, 1.749165703985897e-02, 5.134749513821165e-03, 3.793913674865766e+01, 2.832112922045155e-01
25, 3.445451734506840e+00, 5.352202629500000e-08, 1.759570766592332e-04, 1.763254441395327e-02, 5.142137247730660e-03, 3.794890179768523e+01, 2.787407958657107e-01
26, 2.973711728635770e+00, 5.352202629500000e-08, 1.758215615486993e-04, 1.782992869042500e-02, 4.891760402254770e-03, 3.794115202330768e+01, 2.758566987034826e-01
27, 2.592286805209170e+00, 5.352202629500000e-08, 1.761614420759008e-04, 1.721083858962909e-02, 4.050695837606747e-03, 3.796714681615487e+01, 2.733280033368907e-01
28, 2.283886053947150e+00, 5.352202629500000e-08, 1.761058574970333e-04, 1.575284880088927e-02, 5.112588363826860e-03, 3.782473561968283e+01, 2.603957031406363e-01
29, 2.034528926141940e+00, 5.352202629500000e-08, 1.755706211161278e-04, 1.722105753485899e-02, 7.908772027513486e-03, 3.791084859666957e+01, 2.556273729520308e-01
30, 1.832911462718730e+00, 5.352202629500000e-08, 1.742432455960385e-04, 2.042892867855477e-02, 6.997220834916035e-03, 3.796528228378196e+01, 2.988835092559736e-01
